sys,t_res,s_res,tr,ta,total_time,percent_area
Polaris-MERRA2,hour,0.25,3.701150894165039,0,3.701150894165039,1
Polaris-MERRA2,hour,0.25,3.0926527976989746,0,3.0926527976989746,1
Polaris-MERRA2,hour,0.25,3.1276681423187256,0,3.1276681423187256,1
Polaris-MERRA2,hour,0.25,3.1240899562835693,0,3.1240899562835693,25
Polaris-MERRA2,hour,0.25,3.1320137977600098,0,3.1320137977600098,25
Polaris-MERRA2,hour,0.25,3.115643262863159,0,3.115643262863159,25
Polaris-MERRA2,hour,0.25,3.13432240486145,0,3.13432240486145,50
Polaris-MERRA2,hour,0.25,3.1030704975128174,0,3.1030704975128174,50
Polaris-MERRA2,hour,0.25,3.0815699100494385,0,3.0815699100494385,50
Polaris-MERRA2,hour,0.25,3.1019034385681152,0,3.1019034385681152,1
Polaris-MERRA2,hour,0.25,3.116492986679077,0,3.116492986679077,1
Polaris-MERRA2,hour,0.25,3.126481771469116,0,3.126481771469116,1
Polaris-MERRA2,hour,0.25,3.098637580871582,0,3.098637580871582,25
Polaris-MERRA2,hour,0.25,3.0981156826019287,0,3.0981156826019287,25
Polaris-MERRA2,hour,0.25,3.078033685684204,0,3.078033685684204,25
Polaris-MERRA2,hour,0.25,3.0848793983459473,0,3.0848793983459473,50
Polaris-MERRA2,hour,0.25,3.0356099605560303,0,3.0356099605560303,50
Polaris-MERRA2,hour,0.25,3.097224235534668,0,3.097224235534668,50
Polaris-MERRA2,hour,0.25,3.087904930114746,0,3.087904930114746,1
Polaris-MERRA2,hour,0.25,3.0968847274780273,0,3.0968847274780273,1
Polaris-MERRA2,hour,0.25,3.115112781524658,0,3.115112781524658,1
Polaris-MERRA2,hour,0.25,3.0961713790893555,0,3.0961713790893555,25
Polaris-MERRA2,hour,0.25,3.0875868797302246,0,3.0875868797302246,25
Polaris-MERRA2,hour,0.25,3.109545946121216,0,3.109545946121216,25
Polaris-MERRA2,hour,0.25,3.124674081802368,0,3.124674081802368,50
Polaris-MERRA2,hour,0.25,3.0987133979797363,0,3.0987133979797363,50
Polaris-MERRA2,hour,0.25,3.110074996948242,0,3.110074996948242,50
Polaris-MERRA2,year,0.25,0.02945542335510254,0,0.02945542335510254,1
Polaris-MERRA2,year,0.25,0.03203773498535156,0,0.03203773498535156,1
Polaris-MERRA2,year,0.25,0.029856443405151367,0,0.029856443405151367,1
Polaris-MERRA2,year,0.25,0.025328636169433594,0,0.025328636169433594,25
Polaris-MERRA2,year,0.25,0.022747516632080078,0,0.022747516632080078,25
Polaris-MERRA2,year,0.25,0.023633956909179688,0,0.023633956909179688,25
Polaris-MERRA2,year,0.25,0.023647785186767578,0,0.023647785186767578,50
Polaris-MERRA2,year,0.25,0.024379491806030273,0,0.024379491806030273,50
Polaris-MERRA2,year,0.25,0.023615121841430664,0,0.023615121841430664,50
Polaris-MERRA2,year,0.25,0.02411675453186035,0,0.02411675453186035,1
Polaris-MERRA2,year,0.25,0.023824214935302734,0,0.023824214935302734,1
Polaris-MERRA2,year,0.25,0.024494647979736328,0,0.024494647979736328,1
Polaris-MERRA2,year,0.25,0.02371978759765625,0,0.02371978759765625,25
Polaris-MERRA2,year,0.25,0.025342702865600586,0,0.025342702865600586,25
Polaris-MERRA2,year,0.25,0.02394890785217285,0,0.02394890785217285,25
Polaris-MERRA2,year,0.25,0.024472951889038086,0,0.024472951889038086,50
Polaris-MERRA2,year,0.25,0.02374267578125,0,0.02374267578125,50
Polaris-MERRA2,year,0.25,0.024496793746948242,0,0.024496793746948242,50
Polaris-MERRA2,year,0.25,0.023746490478515625,0,0.023746490478515625,1
Polaris-MERRA2,year,0.25,0.0245053768157959,0,0.0245053768157959,1
Polaris-MERRA2,year,0.25,0.023662805557250977,0,0.023662805557250977,1
Polaris-MERRA2,year,0.25,0.024536848068237305,0,0.024536848068237305,25
Polaris-MERRA2,year,0.25,0.02378702163696289,0,0.02378702163696289,25
Polaris-MERRA2,year,0.25,0.024436235427856445,0,0.024436235427856445,25
Polaris-MERRA2,year,0.25,0.023606300354003906,0,0.023606300354003906,50
