sys,t_res,s_res,tr,ta,total_time
Polaris,hour,0.25,4.284677028656006,0,4.284677028656006
Polaris,hour,0.25,3.6888833045959473,0,3.6888833045959473
Polaris,hour,0.25,3.6971192359924316,0,3.6971192359924316
Polaris,hour,0.5,1.5646071434020996,0,1.5646071434020996
Polaris,hour,0.5,1.5625770092010498,0,1.5625770092010498
Polaris,hour,0.5,1.5811512470245361,0,1.5811512470245361
Polaris,hour,1,0.44693589210510254,0,0.44693589210510254
Polaris,hour,1,0.4633955955505371,0,0.4633955955505371
Polaris,hour,1,0.5093002319335938,0,0.5093002319335938
Polaris,hour,0.25,3.579073905944824,0,3.579073905944824
Polaris,hour,0.25,3.5944173336029053,0,3.5944173336029053
Polaris,hour,0.25,3.6841766834259033,0,3.6841766834259033
Polaris,hour,0.5,1.5663723945617676,0,1.5663723945617676
Polaris,hour,0.5,1.5704355239868164,0,1.5704355239868164
Polaris,hour,0.5,1.5776565074920654,0,1.5776565074920654
Polaris,hour,1,0.4643990993499756,0,0.4643990993499756
Polaris,hour,1,0.4744999408721924,0,0.4744999408721924
Polaris,hour,1,0.49526071548461914,0,0.49526071548461914
Polaris,hour,0.25,3.6233699321746826,0,3.6233699321746826
Polaris,hour,0.25,3.700519561767578,0,3.700519561767578
Polaris,hour,0.25,3.6833078861236572,0,3.6833078861236572
Polaris,hour,0.5,1.5581896305084229,0,1.5581896305084229
Polaris,hour,0.5,1.5521502494812012,0,1.5521502494812012
Polaris,hour,0.5,1.5863425731658936,0,1.5863425731658936
Polaris,hour,1,0.49132394790649414,0,0.49132394790649414
Polaris,hour,1,0.45563220977783203,0,0.45563220977783203
Polaris,hour,1,0.4984426498413086,0,0.4984426498413086
Polaris,day,0.25,0.7040407657623291,0,0.7040407657623291
Polaris,day,0.25,0.08077812194824219,0,0.08077812194824219
Polaris,day,0.25,0.08240461349487305,0,0.08240461349487305
Polaris,day,0.5,0.08940982818603516,0,0.08940982818603516
Polaris,day,0.5,0.05038881301879883,0,0.05038881301879883
Polaris,day,0.5,0.08641266822814941,0,0.08641266822814941
Polaris,day,1,0.049941301345825195,0,0.049941301345825195
Polaris,day,1,0.044896841049194336,0,0.044896841049194336
Polaris,day,1,0.04438614845275879,0,0.04438614845275879
Polaris,year,0.25,0.0293123722076416,0,0.0293123722076416
Polaris,year,0.25,0.026904821395874023,0,0.026904821395874023
Polaris,year,0.25,0.024835586547851562,0,0.024835586547851562
Polaris,year,0.5,0.02477574348449707,0,0.02477574348449707
Polaris,year,0.5,0.024621963500976562,0,0.024621963500976562
Polaris,year,0.5,0.02550816535949707,0,0.02550816535949707
Polaris,year,1,0.02406144142150879,0,0.02406144142150879
Polaris,year,1,0.023949146270751953,0,0.023949146270751953
Polaris,year,1,0.023520469665527344,0,0.023520469665527344
Polaris,month,0.5,0.026537418365478516,0,0.026537418365478516
Polaris,month,0.5,0.02512502670288086,0,0.02512502670288086
Polaris,month,0.5,0.025079011917114258,0,0.025079011917114258
Polaris,month,1,0.024203062057495117,0,0.024203062057495117
Polaris,month,1,0.02414679527282715,0,0.02414679527282715
Polaris,month,1,0.024050235748291016,0,0.024050235748291016
Polaris,day,0.25,0.10558414459228516,0,0.10558414459228516
Polaris,day,0.25,0.0893392562866211,0,0.0893392562866211
Polaris,day,0.25,0.08979415893554688,0,0.08979415893554688
Polaris,day,0.5,0.043894290924072266,0,0.043894290924072266
Polaris,day,0.5,0.040711164474487305,0,0.040711164474487305
Polaris,day,0.5,0.0399782657623291,0,0.0399782657623291
Polaris,day,1,0.03170657157897949,0,0.03170657157897949
Polaris,day,1,0.02937936782836914,0,0.02937936782836914
Polaris,day,1,0.0279233455657959,0,0.0279233455657959
Polaris,year,0.25,0.023896217346191406,0,0.023896217346191406
Polaris,year,0.25,0.024105310440063477,0,0.024105310440063477
Polaris,year,0.25,0.023710966110229492,0,0.023710966110229492
Polaris,year,0.5,0.02378678321838379,0,0.02378678321838379
Polaris,year,0.5,0.023587703704833984,0,0.023587703704833984
Polaris,year,0.5,0.023726701736450195,0,0.023726701736450195
Polaris,year,1,0.02344202995300293,0,0.02344202995300293
Polaris,year,1,0.023764848709106445,0,0.023764848709106445
Polaris,year,1,0.02346944808959961,0,0.02346944808959961
Polaris,month,0.5,0.02416539192199707,0,0.02416539192199707
Polaris,month,0.5,0.023977279663085938,0,0.023977279663085938
Polaris,month,0.5,0.024198532104492188,0,0.024198532104492188
Polaris,month,1,0.023653268814086914,0,0.023653268814086914
Polaris,month,1,0.02392864227294922,0,0.02392864227294922
Polaris,month,1,0.023583412170410156,0,0.023583412170410156
Polaris,day,0.25,0.10530209541320801,0,0.10530209541320801
Polaris,day,0.25,0.0896613597869873,0,0.0896613597869873
Polaris,day,0.25,0.08999371528625488,0,0.08999371528625488
Polaris,day,0.5,0.041877031326293945,0,0.041877031326293945
Polaris,day,0.5,0.04003548622131348,0,0.04003548622131348
Polaris,day,0.5,0.039049386978149414,0,0.039049386978149414
Polaris,day,1,0.031159400939941406,0,0.031159400939941406
Polaris,day,1,0.0286710262298584,0,0.0286710262298584
